           Nude Plays Profit Chart
Ticket Price      Patrons          Profits
       $2.75          130          $247.00
       $2.70          146          $265.72
       $2.65          162          $281.88
       $2.60          178          $295.48
       $2.55          194          $306.52
       $2.50          210          $315.00
       $2.45          226          $320.92
       $2.40          242          $324.28
       $2.35          258           $325.8
       $2.30          274          $323.32
       $2.25          290          $319.00
       $2.20          306          $312.12
       $2.15          322          $302.68
       $2.10          338          $290.68
        $2.5          354          $276.12
       $2.00          370          $259.00
       $1.95          386          $239.32
       $1.90          402           $217.8
       $1.85          418          $192.28
       $1.80          434          $164.92
       $1.75          450          $135.00
       $1.70          466          $102.52
       $1.65          482           $67.48
       $1.60          498           $29.88
       $1.55          514          -$10.28
       $1.50          530          -$53.00
Best ticket price is $2.35
